r_id,r_date,age,campus,class,ethnicity,gender,housing,housing_actual,status,vet,worker,drive,license,mode,mode_cat,camp_camp,camp_cat,park_campus_week,park_campus_days,tocamp_week,travel_time,travel_distance,main_route,region,informed,email_freq,email_read,email_subject,email_rules,rule_not_read,parking_ed,zip,x,y,park_pref,park_pref_2,park_permit,permit_type,permit_type_2,no_permit_why,no_permit,goldvgreen,greenvgold,lots_campus,park_where,park_awarness,park_avalible,park_first_choice,drive_res_class,drive_res_class_days,res_park,res_park2,mills_campus_peak,park_pref_peak,bv_campus_peak,centeral_camp_peak,lot_full,circle_time,comments,rate_overall_group,rate_overall,rate_maintenance,rate_online,rate_staff,rate_officers,rate_lot_safety,rate_clean,reason_no_vehicle,why_no_license,drop_off,rideshare_camp
11,3/18/2024,20,Main,Junior,Hisp,Female,On,San Jacinto Hall,Full-time,Veteran Dependent,Student Wage Worker,Yes,,,,Walk,Walk,7 days,7,,,,,,Email,More than I would like,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,Too confusing,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Vehicle Safety -  I do not feel my vehicle is secure in the Mill Street Lot,,,,,,No,,San Jacinto Hall (Lot 112),,,,,,Circle until a space becomes available,Less than 5 minutes,,Detractor,2,Extremely dissatisfied,Neither easy nor difficult,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Extremely dissatisfied,,,,
12,3/18/2024,19,Main,Sophomore,White Non-Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,Bobcat Shuttle,Alternative,Walk,Walk,0 days,0,,15,5,,Other,TXST App,More than I would like,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78130,560,381,"Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour),First available spot, regardless of restrictiOns","Free parking on a city or neighborhood street, LBJ PTP, First available spot, Free parking on a city or neighborhood street",No,,,"Permit cost is too high, Do not believe there is available parking, Available parking is incOnvenient for me, Did not want to ride the Bobcat Shuttle from available parking, Rarely/never drive to campus",Permit cost is too high,,,,,,,,,,,,,,,,,,,Detractor,0,Extremely dissatisfied,Extremely difficult,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,,,,
13,3/18/2024,19,Main,Sophomore,White Non-Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,Private Shuttle Bus,Alternative,Walk,Walk,1 day,1,,30,5,,,Email,About right,About half the time,Most of the time,No: I have read nOne of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78666,,,The LBJ Student Center Parking Garage (pay by the hour),LBJ PTP,No,,,"Permit cost is too high, Do not believe there is available parking",Permit cost is too high,,,,,,,,,,,,,,,,,,figure out ways to not be an auxiliary service,Passive,7,Somewhat satisfied,Somewhat easy,Extremely satisfied,Somewhat satisfied,Extremely satisfied,Extremely satisfied,,,,
14,3/18/2024,22,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle, Walk, Drop off","Drive, Alternative, Active, Alternative",Walk,Walk,3 days,3,,0,0,Sessom Dr,,Text Message,About right,About half the time,Always,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78666,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",Yes,,,,,,,Bobcat Stadium West Lot (P10W),Closest to class,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,My preferred lot does not get full,,,Detractor,6,Extremely satisfied,Somewhat easy,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,,,Campus loop,
15,3/18/2024,23,Main,Senior,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Walk,Walk,4 days,4,,15,10,Hunter,,Email,About right,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,Too long,Might or might not,78132,,,Off-campus Pay to Park lot,Off-campus PTP,No,,,"Available parking is incOnvenient for me, Did not want to ride the Bobcat Shuttle from available parking",Available parking is incOnvenient for me,,,,,,,,,,,,,,,,,,change the resident lot in frOnt of Ingram back to commuter parking. that parking lot is never full whereas it was full when it was commuter parking.,Detractor,4,Somewhat satisfied,Somewhat easy,Extremely satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
16,3/18/2024,24,Main,Sophomore,Hisp,Male,Off,Off-Campus,Full-time,Veteran,,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,2 days,2,,15,5,Aquarena Springs,Region #6,TXST App,Less than I would like,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,Too confusing,Probably not,,601,541,"A university lot or garage - without the correct parking permit,Free parking On a city or neighborhood street","A university lot or garage - without the correct parking permit, Free parking on a city or neighborhood street",No,,,"Permit cost is too high, Do not believe there is available parking, Available parking is incOnvenient for me",Do not believe there is available parking,,,,,,,,,,,,,,,,,,,Detractor,4,Somewhat satisfied,Somewhat difficult,Extremely dissatisfied,Extremely dissatisfied,Somewhat dissatisfied,Somewhat satisfied,,,,
17,3/18/2024,19,Main,Freshman,Hisp,Female,On,JacksOn Hall,Full-time,,Student Wage Worker,Yes,,,,Bicycle,Bicycle,2 days,2,,,,,,Text Message,More than I would like,Always,,Yes: I have read all of the Rules and RegulatiOns,,Probably not,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Gold Mill Street/Residence Hall Permit (less expensive),Gold,,,Price,,,,,,,,,,,No,,,,My preferred lot does not get full,,Make parking passes less expensive for people who need to live On campus. $500+ is ridiculous to just park where your car is accessible.,Detractor,0,Extremely dissatisfied,Extremely difficult,Extremely dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,,,,
18,3/18/2024,20,Main,Senior,Hisp,Female,Off,Off-Campus,Part-time,,,Yes,,Walk,Active,Walk,Walk,1 day,1,,15,0,,Region #3,Email,More than I would like,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,Not interested,Definitely yes,77573,412,344,"A university lot or garage - without the correct parking permit,Free parking On a city or neighborhood street,First available spot, regardless of restrictiOns","A university lot or garage - without the correct parking permit, Free parking on a city or neighborhood street, First available spot, Free parking on a city or neighborhood street",No,,,Rarely/never drive to campus,,,,,,,,,,,,,,,,,,,We need more parking lots/garages available to students & we need guest parking!,Detractor,3,Somewhat satisfied,Somewhat easy,Extremely satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
19,3/18/2024,18,Main,Freshman,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,"Drive,Walk","Drive, Walk",3 days,3,,30,20,Old Ranch Road 12,,Email,More than I would like,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,Too long,Might or might not,78070,,,"A university lot or garage - with the correct parking permit,A university lot or garage - without the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour),Accessible Parking","A university lot or garage - with the correct parking permit, A university lot or garage - without the correct parking permit, LBJ PTP, Accessible Parking",Yes,,,,,,,Speck Garage (C13),Closest to class,Bobcat Stadium (P10W),,,,,,,,,,,"Other, please specify:",,More parking spaces,Detractor,2,Somewhat dissatisfied,Somewhat easy,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,,,,
20,3/18/2024,20,Main,Junior,Black/Af Am,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,"Drive, Private Shuttle Bus","Drive, Alternative",Walk,Walk,3 days,3,,0,10,Aquarena Springs,,Email,Less than I would like,Always,,Some: I have read some parts of the Rules and RegulatiOns,Too long,Probably yes,77078,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour),First available spot, regardless of restrictiOns","A university lot or garage - with the correct parking permit, LBJ PTP, First available spot, Free parking on a city or neighborhood street",Yes,,,,,,,Speck Garage (C13),Lot most likely to have available spaces,Bobcat Stadium East (P10E),,,,,,,,,,,Park in a Red Faculty/Staff parking lot,,,Detractor,0,Extremely dissatisfied,Somewhat easy,Neither satisfied nor dissatisfied,,,,,,,
21,3/18/2024,62,Main,Masters,Black/Af Am,Female,Off,Off-Campus,Full-time,Veteran,GA,Yes,,Drive,Drive,Drive,Drive,3 days,3,,15,10,Aquarena Springs,,Email,About right,Always,,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78640,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,"Other, please specify:",Closest to class,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,,,Park in a Pay-to-Park garage,,,Promoter,9,Extremely satisfied,Extremely easy,Extremely satisfied,,Extremely satisfied,Extremely satisfied,,,,
22,3/18/2024,24,Main,Masters,White Non-Hisp,Male,Off,Off-Campus,Full-time,Veteran Dependent,GA,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,3 days,3,,0,0,Old Ranch Road 12,Region #2,Email,About right,Always,,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78666,360,311,"A university lot or garage - with the correct parking permit,Free parking On a city or neighborhood street,Downtown or On the Square","A university lot or garage - with the correct parking permit, Free parking on a city or neighborhood street, Downtown or On the Square",Yes,,,,,,,Speck Garage (C13),Lot most likely to have available spaces,,,,,,,,,,,,"Other, please specify:",,gee i dOnt know maybe fix the fact that this is an auxiliary service and actually find some funding for it? stop bending students over backwards that are already struggling to adapt to the rising costs of attending institutiOns of higher learning,Detractor,0,Extremely dissatisfied,Somewhat easy,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,,,,
23,3/18/2024,21,Main,Junior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Bobcat Shuttle,Alternative,Walk,Walk,1 day,1,,0,0,,Region #3,Email,About right,Most of the time,,No: I have read nOne of the Rules and RegulatiOns,Not interested,Definitely yes,78666,489,294,"Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour)","Free parking on a city or neighborhood street, LBJ PTP",No,,,"Permit cost is too high, Available parking is incOnvenient for me",Permit cost is too high,,,,,,,,,,,,,,,,,,"Make parking free, we already pay so much in tuitiOn (especially those who receive no financial aid help). Why do we pay so much for LBJ garage and parking permits when we already pay to attend.",Detractor,6,Somewhat satisfied,Somewhat easy,Extremely satisfied,Extremely satisfied,Extremely satisfied,Somewhat satisfied,,,,
24,3/18/2024,21,Main,Senior,Hisp,Male,Off,Off-Campus,Part-time,,,Yes,,Bobcat Shuttle,Alternative,Walk,Walk,5 days,5,,0,0,,,Text Message,About right,Sometimes,Most of the time,No: I have read nOne of the Rules and RegulatiOns,Not interested,Definitely yes,78666,,,A university lot or garage - without the correct parking permit,A university lot or garage - without the correct parking permit,No,,,"Other,",,,,,,,,,,,,,,,,,,,,Detractor,3,,Neither easy nor difficult,Somewhat dissatisfied,Somewhat dissatisfied,,,,,,
25,3/18/2024,20,Main,Sophomore,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,1 day,1,,0,0,Sessom Dr,,Email,About right,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Might or might not,78666,,,The LBJ Student Center Parking Garage (pay by the hour),LBJ PTP,No,,,"Permit cost is too high, Do not believe there is available parking, Available parking is incOnvenient for me, Did not want to ride the Bobcat Shuttle from available parking",Available parking is incOnvenient for me,,,,,,,,,,,,,,,,,,"Making parking more accessible to those who do not want to commit to a permit. My old university’s  (Unuversity of ArizOna) system worked well I believe. Have lots and parking spaces On CAMPUS that would allow students to park there and you can pay by the hour. I find it incOnvenient that the lots open to everyOne after 5pm or something like that Only if you have a permit. This sucks when I want to go to the rec center, because I’m Only able to park in that lot On weekends during peak hours. They also did free parking open to anyOne from 5pm Friday to 6am MOnday. It was really cOnvenient and having the lots (not just garages) open to students with a pay by hour system could be beneficial to everyOne.",Detractor,5,Somewhat satisfied,Neither easy nor difficult,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
26,3/18/2024,19,Main,Sophomore,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Walk,Walk,2 days,2,,60,60,Aquarena Springs,,TXST App,More than I would like,About half the time,Always,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Might or might not,76009,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",No,,,"Do not believe there is available parking, Purchase temporary permits as needed",Do not believe there is available parking,,,,,,,,,,,,,,,,,,,Detractor,5,Neither satisfied nor dissatisfied,Extremely easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,
27,3/18/2024,22,Main,Senior,Hisp,Female,Off,Off-Campus,Part-time,Veteran,,Yes,,"Drive, Carpool, Drop off","Drive, Alternative, Alternative",Walk,Walk,4 days,4,,15,5,Aquarena Springs,Region #10,Email,Less than I would like,About half the time,Always,No: I have read nOne of the Rules and RegulatiOns,I already know what I need to know,Might or might not,78640,551,728,"A university lot or garage - without the correct parking permit,Free parking On a city or neighborhood street,Downtown or On the Square","A university lot or garage - without the correct parking permit, Free parking on a city or neighborhood street, Downtown or On the Square",No,,,Available parking is incOnvenient for me,,,,,,,,,,,,,,,,,,,,Detractor,3,Extremely satisfied,Extremely difficult,Somewhat satisfied,Extremely satisfied,Extremely dissatisfied,Extremely satisfied,,,Mccoy,
28,3/18/2024,19,Main,Freshman,White Non-Hisp,Female,On,Retama Hall,Full-time,,Student Wage Worker,Yes,,,,"Walk,Catch a ride / Carpool","Walk, Catch a ride / Carpool",7 days,7,,,,,,Email,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,Too long,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Gold Mill Street/Residence Hall Permit (less expensive),Gold,,,Other,,,,,,,,,,,No,,,,My preferred lot does not get full,,More parking and better communicatiOn,Detractor,4,Somewhat dissatisfied,Extremely difficult,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Extremely dissatisfied,,,,
29,3/18/2024,21,Main,Senior,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Walk","Drive, Active",Walk,Walk,4 days,4,,0,0,Other,,Email,Less than I would like,Always,,Yes: I have read all of the Rules and RegulatiOns,,Definitely not,78666,,,Off-campus Pay to Park lot,Off-campus PTP,No,,,"Permit cost is too high, Do not believe there is available parking, Available parking is incOnvenient for me",Permit cost is too high,,,,,,,,,,,,,,,,,,Make more parking spaces for commuters,Detractor,1,Extremely dissatisfied,Somewhat difficult,Somewhat dissatisfied,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,,,,
30,3/18/2024,18,Main,Freshman,White Non-Hisp,Female,On,Lantana Hall,Part-time,,,Yes,,,,Drive,Drive,7 days,7,,,,,Region #6,Text Message,More than I would like,Always,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Might or might not,,580,540,"A university lot or garage - with the correct parking permit,A university lot or garage - without the correct parking permit,Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour),The Edward Gary Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, A university lot or garage - without the correct parking permit, Free parking on a city or neighborhood street, LBJ PTP, Edward Gary PTP",Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,Yes,Daily,I prefer to park in a Pay-to-Park garage (LBJ Garage or Edward Gary Garage),San Jacinto Hall (Lot 112),,,,,"Other, please specify:",,make more green or gold permit parking???? why is there so much red permit parking and it’s never even full. students need more. there’s literally 0 parking ANYWHERE On campus for me some days leaving me no choice except to park On a street and risk being towed or driving aimlessly around for hours to avoid getting a ridiciously expensive ticket. I would rather get a ticket from the city of San Marcos because it’s normally cheaper than getting a ticket from the school.,Detractor,0,Somewhat dissatisfied,Extremely difficult,Extremely dissatisfied,Extremely dissatisfied,Somewhat satisfied,Somewhat dissatisfied,,,,
31,3/18/2024,20,Main,Senior,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Bobcat Shuttle,Alternative,"Bobcat Shuttle,Walk","Bobcat Shuttle, Walk",0 days,0,,15,0,,,Email,About right,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78666,,,The LBJ Student Center Parking Garage (pay by the hour),LBJ PTP,No,,,"Permit cost is too high, Do not believe there is available parking, Available parking is incOnvenient for me, Rarely/never drive to campus",Permit cost is too high,,,,,,,,,,,,,,,,,,Have more parking around campus,Detractor,3,Somewhat satisfied,Extremely easy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,,
32,3/18/2024,19,Main,Junior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,Bobcat Shuttle,Alternative,Walk,Walk,1 day,1,,15,0,,Region #7,Text Message,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,Too long,Might or might not,78666,832,498,"A university lot or garage - without the correct parking permit,The Edward Gary Parking Garage (pay by the hour),Downtown or On the Square","A university lot or garage - without the correct parking permit, Edward Gary PTP, Downtown or On the Square",No,,,"Permit cost is too high, Do not believe there is available parking, Available parking is incOnvenient for me, Rarely/never drive to campus",Permit cost is too high,,,,,,,,,,,,,,,,,,"Have more free parking available On campus. The parking passes are way too expensive, so whenever I need to park On campus there are absolutely no optiOns available.",Detractor,1,Neither satisfied nor dissatisfied,Somewhat easy,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
33,3/18/2024,19,Main,Sophomore,White Non-Hisp,Female,On,First Five Hall,Full-time,,,Yes,,,,"Drive,Walk","Drive, Walk",7 days,7,,,,,,Email,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,Yes,Daily,Speck Garage (Lot 306),Woods Garage (Lot 108),,,,,Circle until a space becomes available,5 to 15 minutes,More parking lots,Detractor,4,Extremely satisfied,Somewhat easy,Extremely satisfied,Extremely satisfied,Somewhat satisfied,Somewhat satisfied,,,,
34,3/18/2024,18,Main,Freshman,White Non-Hisp,Female,On,Sayers Hall,Full-time,,,Yes,,,,Drive,Drive,7 days,7,,,,,,Text Message,About right,Always,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Definitely yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,Yes,2-3 times a week,Blanco Garage (Lot 303),Matthews Garage (Lot 113),,,,,Circle until a space becomes available,Less than 5 minutes,,Promoter,10,,Somewhat easy,Extremely satisfied,Extremely satisfied,Extremely satisfied,,,,,
35,3/18/2024,18,Main,Freshman,White Non-Hisp,Female,On,Tower Hall,Full-time,,,Yes,,,,Walk,Walk,7 days,7,,,,,,Email,About right,Sometimes,Always,Some: I have read some parts of the Rules and RegulatiOns,Too long,Definitely yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,No,,Tower Garage (Lot 106),,,,,,Circle until a space becomes available,5 to 15 minutes,"There are too many red restricted spots. They are always open when green spots ( which are very expensive) are usually full at most times. I am lucky to be in the tower garage where I do not find this an everyday issue, but I have friends who have less fortunate parking choices.",Detractor,3,Somewhat dissatisfied,Somewhat easy,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
